word	F	Ao	Ez		
norreture	2	2	0		
novele	2	2	0		
O	2	2	0		
obeïr	2	2	0		
ocient	2	2	0		
ocirre	2	2	0		
ocis	2	2	0		
Oïl	2	2	0		
ore	2	2	0		
païs	2	2	0		
palefroi	2	2	0		
paors	2	2	0		
parlerent	2	2	0		
paroir	2	2	0		
parz	2	2	0		
passer	2	2	0		
perdue	2	2	0		
peresce	2	2	0		
pié	2	2	0		
place	2	2	0		
plaie	2	2	0		
plaies	2	2	0		
plain	2	2	0		
plaist	2	2	0		
plore	2	2	0		
poez	2	2	0		
poïssent	2	2	0		
pooir	2	2	0		
Por	2	2	0		
porchacier	2	2	0		
porrai	2	2	0		
porroiz	2	2	0		
prandra	2	2	0		
pri	2	2	0		
prochainnement	2	2	0		
prodomes	2	2	0		
proesces	2	2	0		
puissanz	2	2	0		
q	2	2	0		
qoi	2	2	0		
querre	2	2	0		
quit	2	2	0		
raisons	2	2	0		
recovrer	2	2	0		
requiert	2	2	0		
requis	2	2	0		
retorne	2	2	0		
riviere	2	2	0		
saillent	2	2	0		
sainz	2	2	0		
san	2	2	0		
saviez	2	2	0		
savoir	2	2	0		
savoit	2	2	0		
savons	2	2	0		
seiez	2	2	0		
selonc	2	2	0		
senestre	2	2	0		
seoir	2	2	0		
serai	2	2	0		
sergenz	2	2	0		
servir	2	2	0		
seul	2	2	0		
seürement	2	2	0		
siet	2	2	0		
sist	2	2	0		
soffrir	2	2	0		
sospire	2	2	0		
tele	2	2	0		
traire	2	2	0		
traist	2	2	0		
tranchant	2	2	0		
troi	2	2	0		
trossé	2	2	0		
trueve	2	2	0		
venchiez	2	2	0		
verais	2	2	0		
veü	2	2	0		
veüe	2	2	0		
vienent	2	2	0		
viguereus	2	2	0		
vilenie	2	2	0		
vivre	2	2	0		
volenté	2	2	0		
volentez	2	2	0		
[un]	1	1	0		
abandonez	1	1	0		
abat	1	1	0		
acesmer	1	1	0		
achevees	1	1	0		
acoillent	1	1	0		
acoler	1	1	0		
acomplisse	1	1	0		
acorde	1	1	0		
acroistre	1	1	0		
adanz	1	1	0		
aert	1	1	0		
affichiez	1	1	0		
aguz	1	1	0		
Aiant	1	1	0		
aidier	1	1	0		
aille	1	1	0		
aillissiez	1	1	0		
aillors	1	1	0		
aimant	1	1	0		
aimenz	1	1	0		
aimme	1	1	0		
ain	1	1	0		
ainsinc	1	1	0		
alast	1	1	0		
aleüre	1	1	0		
Alez	1	1	0		
alissiez	1	1	0		
aloient	1	1	0		
am	1	1	0		
amainnne	1	1	0		
amander	1	1	0		
ambleüre	1	1	0		
amené	1	1	0		
amenez	1	1	0		
ameront	1	1	0		
amez	1	1	0		
amoit	1	1	0		
amors	1	1	0		
anbarniz	1	1	0		
anbedeus	1	1	0		
anchantemanz	1	1	0		
anchargier	1	1	0		
ancor	1	1	0		
anelet	1	1	0		
anemi	1	1	0		
anfanz	1	1	0		
anmi	1	1	0		
anprandre	1	1	0		
anprandront	1	1	0		
anpreigne	1	1	0		
anprenez	1	1	0		
anquerre	1	1	0		
ansanble	1	1	0		
anseigne	1	1	0		
anseignerai	1	1	0		
anseignes	1	1	0		
antandement	1	1	0		
antant	1	1	0		
antre	1	1	0		
antree	1	1	0		
antreronpent	1	1	0		
anui	1	1	0		
aorse	1	1	0		
aost	1	1	0		
aparçoit	1	1	0		
aparçoive	1	1	0		
apareillié	1	1	0		
apartient	1	1	0		
apele	1	1	0		
apelé	1	1	0		
apoiee	1	1	0		
